model,feature,importance,signed_weight
logistic_l2_balanced,nmos_w_mean,0.026042811847927616,0.026042811847927616
logistic_l2_balanced,nmos_l_max,0.02041277224366714,-0.02041277224366714
logistic_l2_balanced,action_norm_13,0.016710794366147266,0.016710794366147266
logistic_l2_balanced,pmos_w_sum,0.013734068736298403,-0.013734068736298403
logistic_l2_balanced,pmos_w_mean,0.013734068736298071,-0.013734068736298071
logistic_l2_balanced,sizing__mosfet_12_1_l_gmf2_pmos,0.011146928950669923,0.011146928950669923
logistic_l2_balanced,sizing__mosfet_0_8_m_biascm_pmos,0.006673366860622208,0.006673366860622208
logistic_l2_balanced,mos_w_all_mean,0.005409505996683314,0.005409505996683314
logistic_l2_balanced,mos_w_all_sum,0.005409505996683314,0.005409505996683314
logistic_l2_balanced,selection_bucket__none,0.0027606585305089953,0.0027606585305089953
logistic_l2_balanced,action_norm_02,0.0009509079796561592,-0.0009509079796561592
logistic_l2_balanced,action_norm_00,0.0003392868282862954,-0.0003392868282862954
logistic_l2_balanced,sizing__mosfet_0_8_w_biascm_pmos,0.00011221323644274676,-0.00011221323644274676
logistic_l2_balanced,mos_device_count,0.0,0.0
logistic_l2_balanced,mos_l_all_count,0.0,0.0
logistic_l2_balanced,mos_m_all_count,0.0,0.0
logistic_l2_balanced,mos_w_all_count,0.0,0.0
logistic_l2_balanced,nmos_l_count,0.0,0.0
logistic_l2_balanced,nmos_m_count,0.0,0.0
logistic_l2_balanced,nmos_w_count,0.0,0.0
logistic_l2_balanced,pmos_l_count,0.0,0.0
logistic_l2_balanced,pmos_m_count,0.0,0.0
logistic_l2_balanced,pmos_w_count,0.0,0.0
