feature,mean_admitted,mean_not_admitted,delta_admitted_minus_not,abs_standardized_effect
sizing__mosfet_12_1_l_gmf2_pmos,2.5,2.3294117647058825,0.17058823529411749,0.09494258654004668
selection_bucket__diagnostic_neighborhood_m12_335_365,0.14285714285714285,0.17647058823529413,-0.03361344537815128,0.09019433858822687
action_norm_11,-0.14307445287704468,-0.09694516921744627,-0.04612928365959841,0.07895944118401424
action_norm_06,-0.1603028518812997,-0.09983221529161229,-0.060470636589687404,0.07686339441619426
selection_bucket__l6_neighborhood_m12_330_390,0.14285714285714285,0.11764705882352941,0.02521008403361344,0.0762281290102643
nmos_w_min,2.028571428571429,1.8764705882352943,0.15210084033613458,0.07575132602703452
action_norm_10,0.247439478124891,0.18663865327835083,0.060800824846540175,0.07534001825970503
action_norm_03,-0.057458928653172085,-0.12060955955701716,0.06315063090384507,0.07532364252875966
nmos_l_max,3.957142857142857,4.041176470588235,-0.0840336134453783,0.07462492334967621
sizing__mosfet_10_1_w_gm4_pmos,4.5,4.776470588235294,-0.276470588235294,0.07403217075089004
sizing__mosfet_11_1_m_gm2_pmos,22.0,23.058823529411764,-1.0588235294117645,0.07378292457211559
sizing__mosfet_8_2_w_gm1_pmos,4.971428571428572,4.68235294117647,0.2890756302521025,0.07264508839556888
sizing__mosfet_11_1_l_gm2_pmos,3.3000000000000003,3.1705882352941175,0.12941176470588278,0.07124857822972791
action_norm_09,-0.41108117359025137,-0.3662610422162449,-0.04482013137400648,0.06752758327098725
sizing__mosfet_25_1_w_gm3_nmos,3.7142857142857144,3.511764705882353,0.2025210084033615,0.06497680912063403
nmos_w_max,7.8428571428571425,7.988235294117648,-0.14537815126050546,0.0645701209971389
sizing__mosfet_11_1_w_gm2_pmos,3.3000000000000003,3.5,-0.19999999999999973,0.06346564052174287
action_norm_21,-0.3270310248647417,-0.3654785243903889,0.03844749952564719,0.05856315919735009
action_norm_02,0.030854391200201853,0.05583585886394277,-0.024981467663740913,0.035869288138192
action_norm_05,-0.018784703952925547,-0.0380172659369076,0.019232561983982054,0.025390951295137312
sizing__mosfet_8_2_m_gm1_pmos,25.0,24.529411764705884,0.470588235294116,0.025306091996988318
sizing__mosfet_0_8_m_biascm_pmos,26.428571428571427,26.823529411764707,-0.39495798319327946,0.023124788583932562
sizing__capacitor_1,15.571428571428571,15.470588235294118,0.10084033613445342,0.008861340003302425
action_norm_26,-0.0022026513304029193,0.0017564287957023172,-0.003959080126105237,0.005053524489597205
mos_device_count,8.0,8.0,0.0,0.0
mos_l_all_count,8.0,8.0,0.0,0.0
mos_m_all_count,8.0,8.0,0.0,0.0
mos_w_all_count,8.0,8.0,0.0,0.0
nmos_l_count,3.0,3.0,0.0,0.0
nmos_m_count,3.0,3.0,0.0,0.0
nmos_w_count,3.0,3.0,0.0,0.0
pmos_l_count,5.0,5.0,0.0,0.0
pmos_m_count,5.0,5.0,0.0,0.0
pmos_w_count,5.0,5.0,0.0,0.0
